Empresa,Años Experiencia,Email,Estado,Facturación Estimada,Notas,Notas Investigación,Presencia Digital,Prioridad,Provincia/País,Score ModulorIA,Tamaño Estimado,Teléfono,Ubicación,Web,Certificaciones,Sector,LinkedIn,Facebook,Instagram,Sector Específico,Fecha Primer Contacto,Servicios Potenciales,YouTube,Twitter/X,Última Interacción
Fortuna Casas Prefabricadas,,,🆕 Sin Contactar,,Casas prefabricadas personalizadas,"FORTUNA CASAS PREFABRICADAS - Empresa Murcia especializada CASAS Y CABAÑAS MADERA. Gamas: Cabañas madera 8-20m², Casas madera 20-80m², Villas madera 80-180m². Proceso simplificado compra rápido sin complicaciones. Colección constante crecimiento. Instalación: 24 HORAS desde entrega. Montaje rápido sencillo (construcción completa semanas). NO requieren obra ni papeleo burocrático. Mobiliario modernista incluido. Equipamiento cocina completo. Target: B2C clientes buscando cabañas/casas madera vacaciones o primera vivienda. Enfoque: Calidad, diseño, sostenibilidad. Precios competitivos vs construcción tradicional. Web enfocada catálogo visual inspirador.",✅ Buena,💤 Baja,Murcia,⭐⭐ Fit Medio,🏠 Micro (<5 empleados),,Murcia,fortunacasasprefabricadas.com,,"Modular Madera, Prefabricadas",,,,"Madera, Residencial",,,,,
Modular Home,21,info@modularhome.es,🆕 Sin Contactar,💰 >10M€,Casas hormigón. Sistema MH System,LÍDER NACIONAL. Sistema MH System® propio. +110 empleados. 27K seguidores Instagram. Franquicias Modulate. España/Portugal. Proyecto CDTI.,🚀 Excelente,⭐ Media,Sevilla,⭐⭐⭐⭐⭐ Excelente Fit,🏢 Grande (50+ empleados),900 102 368,España,modularhome.es,CE,,https://es.linkedin.com/company/casas-modular-home,https://www.facebook.com/modularhome.es,https://www.instagram.com/modular_home/,"Hormigón, Prefabricados, Residencial, Sostenible/Eco",,,https://www.youtube.com/modularhome,https://twitter.com/modular_home,
Alucasa,,info@alucasa.com,🆕 Sin Contactar,,Casas móviles prefabricadas. Fábrica propia,"Alucasa (Residenciales Móviles, S.A.) - Contacto verificado en web oficial: Paraje de las Bóvedas, 96 (Polígono El Raiguero), 03160 Almoradí, Alicante. Tel. +34 965 702 697. Email mailto:info@alucasa.com. Redes enlazadas en la web: Facebook, Instagram, YouTube, X y TikTok. LinkedIn corporativo: https://www.linkedin.com/company/alucasa/",✅ Buena,💤 Baja,Alicante,⭐⭐ Fit Medio,🏪 Pequeña (5-20 empleados),965 702 697,"Almoradí, Alicante",alucasa.com,,,https://es.linkedin.com/company/alucasa?trk=public_post_feed-actor-image,https://www.facebook.com/Alucasa,https://www.instagram.com/alucasa_mobilehomes/,,,,https://www.youtube.com/user/Alucasas,https://twitter.com/_Alucasa,
Scandi Byg,,,⏸️ En Pausa,,Mayor fabricante DK. 45+ años. 175 empleados. DGNB,"SCANDI BYG - BANCARROTA ENERO 2025. Fundada 1978. Sede: Himmerlandsvej 3, Løgstør, Dinamarca. Tel: +45 9867 2500. Especialista construcción modular Dinamarca. NUEVO CEO (marzo 2025): Mads Seneca Simonsen (14 años experiencia en la empresa, antes Development Manager). Nordic Wood Industries adquirió activos. Plan de continuación anunciado enero 2025 - completar proyectos en curso y recontratación parcial plantilla. Premio innovación robot IA (único en Dinamarca). Target: PRECAUCIÓN - empresa en reestructuración post-bancarrota.",,🔥 Alta,Dinamarca,,,+45 9867 2500,Løgstør,scandibyg.dk,,,,,,,,,,,
Modular Home Toledo,,info@modularhome.es,🆕 Sin Contactar,,Casas prefabricadas eficientes y personalizadas,,,⭐ Media,Toledo,,,900 102 368,Toledo,modularhome.es,,,,,,,,,,,
Casas inHAUS,10,,🆕 Sin Contactar,💰 >10M€,LÍDER casas modulares hormigón alta gama. 111 modelos. Fábrica +4.000m² Valencia. 16.5M€ (2024). +41% crecimiento.,"CASAS INHAUS S.L. - LÍDER casas modulares prefabricadas HORMIGÓN alta gama España. Fundada 2015. Sede: Calle Maestro Calve 1-10, 46001 Valencia. Fábrica/Showroom Almussafes (+4.000m²). Tel: 963 519 219 / 900 102 961. Email: mailto:hola@casasinhaus.com. NIF: B98533953. 19 EMPLEADOS (+10.2% YoY). FACTURACIÓN 16.5M€ (2024), CRECIMIENTO +41%. 111 MODELOS catálogo (20 nuevos). 5 MESES fabricación nave + 15 días montaje terreno. Proceso llave en mano TODO INCLUIDO. Servicio integral 100% personalizado. Premio CEEI trayectoria empresarial. Exportación EEUU (éxito internacional). Jornadas puertas abiertas InHAUS Lab. Target: Clientes alta gama lujo.",🚀 Excelente,🔥 Alta,Valencia,⭐⭐⭐⭐⭐ Excelente Fit,🏪 Pequeña (5-20 empleados),963 519 219,Valencia (Opera en toda España incl. Barcelona),https://casasinhaus.com,,"Construcción Industrializada, Modular Hormigón, Prefabricadas",https://linkedin.com/company/casas-inhaus,,,"Hormigón, Lujo/Alta Gama, Residencial",,"Análisis Datos, Automatización Procesos, CRM/ERP",,,
GoPrefabricadas,25,,🆕 Sin Contactar,,,25+ años experiencia. Construcción sostenible con experiencia europea. Sin LinkedIn. Casas prefabricadas madera.,⚠️ Regular,⭐ Media,Barcelona,⭐⭐⭐ Buen Fit,❓ Desconocido,+34 683 18 61 50,Barcelona,https://goprefabricadas.com,,"Modular Madera, Prefabricadas, Sostenible",,,,"Madera, Residencial, Sostenible/Eco",,"CRM/ERP, Marketing Digital",,,
The Concrete Home,40,,🆕 Sin Contactar,💵 5-10M€,PREMIUM noroeste Madrid. 40 años (desde 1984). 14 empleados. $5.5M. Hormigón prefabricado. 8 meses máx.,"THE CONCRETE HOME S.L. - CASAS HORMIGÓN PREFABRICADO PREMIUM. Fundada 2015 como marca, vinculada construcción desde 1984 (40 AÑOS experiencia). Torrelodones, Madrid. 14 EMPLEADOS (+10% YoY). Facturación $5.5M. Web: http://theconcretehome.com. Tel Madrid: 951 239 303. Módulos hormigón armado 12-20cm espesor. Construcción máximo 8 MESES. Ahorro 4.000€/año facturas. Proyectos: Torrelodones, Majadahonda (240m²), Galapagar (150m²), Colmenarejo, Las Rozas, Peñascales. 15 proyectos Homify. Modelos: Zermatt, Praga. Target: Clientes ALTA GAMA zona noroeste Madrid.",🚀 Excelente,🔥 Alta,Madrid,⭐⭐⭐⭐⭐ Excelente Fit,🏪 Pequeña (5-20 empleados),951 239 303,"Torrelodones, Madrid",https://theconcretehome.com,,"Modular Hormigón, Prefabricadas",https://linkedin.com/company/the-concrete-home,,,"Hormigón, Residencial",,"CRM/ERP, Marketing Digital",,,
Casas Cube,12,info@casascube.com,🆕 Sin Contactar,💶 1-5M€,,"CASAS CUBE S.L. - LÍDER España casas prefabricadas modulares. Sede: Polígono de Bértoa, Carballo (A Coruña). Tel: 981 632 547. Email: mailto:info@casascube.com. Web: http://casasprefabricadascube.com. CIF: B70409875. 10 EMPLEADOS (+30% YoY). Facturación $1.3M. Fundada 2013. LinkedIn: 1,986 seguidores. PUNTOS DE VENTA: La Coruña (Marineda City), Madrid (C.C.Xanadú), Asturias (C.C.Azabache). Fábrica: 30.000m² + 250 profesionales. Modelos desde 36 hasta 300m². PRECIO CERRADO desde inicio. Construcción pocos meses. Transporte e instalación incluidos. Sistema CUBE: Entorno industrial controlado. Redes: Facebook + Instagram verificados. Target: Nacional, clase media-alta buscando vivienda eficiente precio cerrado.",✅ Buena,⭐ Media,Valencia,⭐⭐⭐ Buen Fit,🏪 Pequeña (5-20 empleados),981 632 547,"Rúa da Madeira, Parcela E-4, Polígono de Bértoa, 15100 Carballo, A Coruña",https://casascube.es,,"Modular Hormigón, Prefabricadas",,https://facebook.com/casascube,https://instagram.com/casascube,"Hormigón, Residencial",,"CRM/ERP, Marketing Digital",,,
KUB'S House,,,🆕 Sin Contactar,,,"KUB'S HOUSE - Contacto verificado en web oficial: Carrer del Ter 41, 17451 Sant Feliu de Buixalleu (Girona). Tel. 689 82 59 84. Redes oficiales enlazadas en web: Instagram, YouTube, Facebook y LinkedIn.",✅ Buena,⭐ Media,Barcelona,⭐⭐ Fit Medio,🏠 Micro (<5 empleados),689 82 59 84,"Sant Feliu de Buixalleu, Girona",https://kubshouse.com,,"Modular Madera, Prefabricadas",https://es.linkedin.com/company/kubshouse,https://www.facebook.com/kubshouse,https://www.instagram.com/kubshouse/,"Lujo/Alta Gama, Madera, Residencial",,"CRM/ERP, Marketing Digital",https://www.youtube.com/@kubshouse6719,,
Hormipresa,50,comercial@hormipresa.com,🆕 Sin Contactar,💰 >10M€,División LIVING para viviendas residenciales. Email comercial: mailto:comercial@hormipresa.com / Email Living: mailto:living@hormipresa.com,"HORMIPRESA - 50+ años experiencia. Dirección: León XIII, 24, 08022 Barcelona. Fax: (34) 933.339.801. DOS DIVISIONES: Industrial (prefabricados hormigón) y LIVING (viviendas premium). Líderes España construcción industrializada hormigón. Edificios terciarios gran escala, construcción altura, viviendas alta gama. Tecnologías: BIM, impresión 3D, sistemas Hybrid Wall y Arctic Wall. Casas en 7 meses. Proyectos: Casa Maresme, Sant Cugat, Bellaterra, Girona, Golf Camiral, Tarragona. Web Living: http://hormipresaliving.com. Miembro ACE. Redes verificadas: Instagram, Facebook, YouTube, LinkedIn.",🚀 Excelente,🔥 Alta,Barcelona,⭐⭐⭐⭐⭐ Excelente Fit,🏢 Grande (50+ empleados),+34 934 470 322,Barcelona,https://hormipresa.com,,"Construcción Industrializada, Modular Hormigón, Prefabricadas",https://linkedin.com/company/hormipresa,https://www.facebook.com/hormipresa,https://instagram.com/hormipresa,"Hormigón, Industrial, Prefabricados, Residencial",,,https://www.youtube.com/hormipresa,,
Arcitur Homes,,,🆕 Sin Contactar,,,Especialistas casas modulares Barcelona. Alta eficiencia energética. Poca presencia digital.,⚠️ Regular,⭐ Media,Barcelona,⭐⭐ Fit Medio,❓ Desconocido,,Barcelona,https://arciturhomes.com,,"Modular Hormigón, Prefabricadas",,,,"Prefabricados, Residencial, Sostenible/Eco",,Marketing Digital,,,
Hormitech,9,web@hormitech.es,🆕 Sin Contactar,💵 5-10M€,,"HORMITECH - Casas prefabricadas hormigón. Fundada 2016. 18 EMPLEADOS. Opera en 5 países. +3,400 VIVIENDAS entregadas. MAYOR DISTRIBUIDORA España. Sedes: Las Rozas, Madrid (C/ Mahón 10, 1ºB, 28290) + Marbella, Málaga (C/ 19, Edif. Banús Guadalmina). Tel: 919 491 900. Web: http://hormitech.es. Proyectos llave en mano desde 250.000€. Precios según superficie: 115-600m². Target: Clientes buscando viviendas prefabricadas hormigón gama media-alta.",🚀 Excelente,🔥 Alta,Madrid,⭐⭐⭐⭐ Muy Buen Fit,🏪 Pequeña (5-20 empleados),919 491 900,"Las Rozas, Madrid + Marbella",https://hormitech.es,,"Construcción Industrializada, Modular Hormigón, Prefabricadas",https://linkedin.com/company/hormitech,,https://instagram.com/hormitech,"Hormigón, Residencial",,"Análisis Datos, Automatización Procesos, CRM/ERP",,,
Cronotopos Arquitectura,8,,🆕 Sin Contactar,,,"Cronotopos Arquitectura (registro duplicado/incorrecto) - Esta fila parece referirse a otra entidad (menciona México y rehabilitación). Para modular en España, usar la ficha 'Cronotopos Arquitectura' con web http://cronotopos.es y mailto:contacto@cronotopos.es. Recomiendo revisar/eliminar esta entrada para no mezclar datos.",❓ Sin Evaluar,💤 Baja,Alicante,❓ Por Evaluar,🏪 Pequeña (5-20 empleados),,Zaragoza / Alicante,https://cronotopos.es,,"Construcción Industrializada, Prefabricadas",,,,"Prefabricados, Residencial",,"Análisis Datos, CRM/ERP, Marketing Digital",,,
Studio HC,10,info@studiohc.es,🆕 Sin Contactar,,,"Studio HC - Contacto verificado en web oficial: Calle Pardo Gimeno 11C, 03007 Alicante (también sede en Valencia con cita previa). Tel. 966 275 331. Email mailto:info@studiohc.es. Redes enlazadas en web: Instagram, Facebook, Pinterest y LinkedIn.",✅ Buena,⭐ Media,Alicante,⭐⭐⭐ Buen Fit,🏪 Pequeña (5-20 empleados),966 275 331,Alicante,https://studiohc.es,,"Modular Acero, Modular Hormigón, Modular Madera",https://www.linkedin.com/company/grupo-studio-hc/?originalSubdomain=es,https://www.facebook.com/studio.hc.arq/,https://www.instagram.com/studiohc/?hl=es,"Acero/Steel Frame, Madera, Residencial",,"CRM/ERP, Marketing Digital",,,
ARQUIMA,18,info@arquima.net,🆕 Sin Contactar,💶 1-5M€,,"ARQUIMA - Contacto verificado en web oficial: CENTRAL (Abrera, Barcelona) Tel. 936 821 006 y email mailto:info@arquima.net. En la página de contacto aparecen también contactos por zona (Baleares, Levante, etc.).",🚀 Excelente,🔥 Alta,Barcelona,⭐⭐⭐⭐⭐ Excelente Fit,🏪 Pequeña (5-20 empleados),936 821 006,"Abrera, Barcelona",https://arquima.net,"LEED, Passivhaus","Modular Madera, Passivhaus, Sostenible",https://linkedin.com/company/arquima,,https://instagram.com/arquima_oficial,"Madera, Passivhaus, Residencial, Sostenible/Eco",,"Automatización Procesos, CRM/ERP, Marketing Digital",,,
Modular Home,,,🆕 Sin Contactar,,,LinkedIn 86 seguidores. Modelo franquicia nacional. Red de distribuidores.,⚠️ Regular,⭐ Media,Valencia,⭐⭐⭐ Buen Fit,🏢 Grande (50+ empleados),,Nacional (Franquicia),https://modularhome.es,,"Modular Hormigón, Prefabricadas",https://linkedin.com/company/modular-home-spain,,,"Hormigón, Residencial",,"CRM/ERP, Marketing Digital",,,
Emsamble,8,,🆕 Sin Contactar,,,8 empleados (+18.8% YoY). Fundada 2017. Especialistas casas pasivas. Arquitectura industrializada.,✅ Buena,⭐ Media,Valencia,⭐⭐⭐ Buen Fit,🏠 Micro (<5 empleados),,"Oleiros, Galicia (Proyectos en Valencia/Barcelona)",https://emsamble.com,,"Passivhaus, Prefabricadas, Sostenible",,,,"Passivhaus, Residencial, Sostenible/Eco",,"CRM/ERP, Marketing Digital",,,
Atlántida Homes,60,info@atlantidahomes.com,🆕 Sin Contactar,💰 >10M€,GRUPO RIOFRÍO (60+ años). Hormigón + acero. Configurador web pionero. 4 meses entrega. Precio cerrado.,"ATLÁNTIDA HOMES - División industrializada GRUPO RIOFRÍO (+60 años sector inmobiliario). Tel: +34 914 09 71 80. Web: http://atlantidahomes.com. LinkedIn: 769 seguidores. Casas prefabricadas HORMIGÓN + ACERO (estructura similar construcción tradicional). CONFIGURADOR WEB PIONERO mundial - cliente configura modelo/acabados y ve precio instantáneo. Plazo fijo 4 MESES. PRECIO CERRADO. Servicio llave en mano: estudio viabilidad urbanística, estudio energético, topografía, geotécnico, proyecto básico/ejecución, certificado eficiencia, dirección facultativa. Modelos: Arena, Duna (desde 237.750€). Operan: Madrid, Barcelona, Salamanca, Guadalajara, Castilla-La Mancha/León. Promoción viviendas industrializadas más grande España (Idealista). Target: Clientes buscando vivienda premium con precio/plazo cerrado.",🚀 Excelente,🔥 Alta,Madrid,⭐⭐⭐⭐⭐ Excelente Fit,🏬 Mediana (20-50 empleados),+34 914 097 180,Madrid,atlantidahomes.com,,,,,,,,,,,
Home3 Viviendas Modulares,20,,🆕 Sin Contactar,💶 1-5M€,"+20 años. Sistema propio innovador. Galicia. Llave en mano, personalizadas o a medida. Baños modulares.","HOME3 VIVIENDAS MODULARES - Casas prefabricadas modulares Galicia. Sede: Paseo Marítimo Alcalde Francisco Vázquez, S/N, 15001 A Coruña. También fábrica en Bergondo. Web: http://home3.es. +20 AÑOS construyendo casas modulares. SISTEMA PROPIO innovador adaptado economía familiar española. Construcción modular efectiva, duradera, sostenible. Materiales innovadores. Opciones: Llave en mano, personalizadas, totalmente a medida. Tamaños desde 145m² (7 módulos, 3-4 dormitorios, 2 baños). Proceso 5 pasos sencillos (pocas semanas). También: BAÑOS MODULARES PREFABRICADOS para grandes edificaciones (residencias, hospitales, hoteles, escuelas). Horario: L-V 11:00-13:30 y 16:00-20:00. Perfil Páginas Amarillas y Homify con 1 proyecto. Contacto: SOLO FORMULARIO WEB (no publican teléfono). Target: Clientes Galicia y norte España.",✅ Buena,🔥 Alta,,⭐⭐⭐⭐ Muy Buen Fit,🏪 Pequeña (5-20 empleados),,"Paseo Marítimo Alcalde Francisco Vázquez, S/N, 15001 A Coruña",home3.es,,,,,,,,,,,
Worldmetor,40,,🆕 Sin Contactar,💶 1-5M€,SISTEMA MDR PATENTADO (117 países). Única 100% fábrica. Montaje 1 día. +40 años hormigón prefabricado.,"WORLDMETOR S.L. - Dos Torres, CÓRDOBA. Fundada 2011 por Francisco Medrán. +40 AÑOS experiencia hormigón prefabricado. Web: http://worldmetor.com. SISTEMA MDR PATENTADO en 117 PAÍSES - producción en cadena módulos hormigón armado. ÚNICA EMPRESA ESPAÑA que construye 100% TOTALIDAD casa en fábrica. Sistema adaptado construcciones en serie. MONTAJE 1 DÍA. PRECIO CERRADO. Aplicaciones: viviendas y edificios. Fundadora: María Florentina García. PREMIO ANDALUCÍA EMPRENDE (II Premios). Artículo Idealista mayo 2021. Teléfono parcial: 662... (Empresite). NIF disponible. Vídeo YouTube disponible. Target: Clientes buscando máxima rapidez montaje y precio cerrado. NOTA: Contacto solo vía web - no publican teléfono completo.",✅ Buena,🔥 Alta,Córdoba,⭐⭐⭐⭐⭐ Excelente Fit,🏪 Pequeña (5-20 empleados),,"Dos Torres, Córdoba",worldmetor.com,,,,,,,,,,,
Hormitech,9,web@hormitech.es,🆕 Sin Contactar,💵 5-10M€,MAYOR DISTRIBUIDORA España. +3.400 viviendas. 18 empleados. Oficinas Madrid + Málaga + Valladolid. Desde 250.000€.,"HORMITECH - MAYOR DISTRIBUIDORA viviendas modulares hormigón España. Fundada 2016. Tel: 91 94 91 900. Email: mailto:web@hormitech.es. Web: http://hormitech.es. OFICINAS: Madrid (C/ Mahón 10, Las Rozas), Málaga (Edif. Banús Guadalmina, Marbella), Valladolid. 18 EMPLEADOS (+10.7% YoY). +3.400 VIVIENDAS ENTREGADAS. Director General: Fernando Vega. Proyectos llave en mano desde 250.000€. Opera España peninsular (NO Canarias/Baleares). Modelos: Simply (114m²), Inzu (154m²), Mukava (155m²). Redes: Facebook, Instagram, Twitter, LinkedIn. Target: Clientes media-alta gama España peninsular.",🚀 Excelente,🔥 Alta,Madrid,⭐⭐⭐⭐⭐ Excelente Fit,🏪 Pequeña (5-20 empleados),919 491 900,"C/ Mahón 10, 1ºB, 28290 Las Rozas, Madrid",hormitech.es,,,,,,,,,,,
Zero Housing,20,,🆕 Sin Contactar,💶 1-5M€,Fundada 2018. +20 años experiencia equipo. Precio cerrado desde 156.000€. 6 meses entrega. Sin barreras arquitectónicas.,"ZERO HOUSING - Viviendas modulares industrializadas. Fundada 2018. Sede: Lugar Vigo, 6 - 15980 Padrón, A Coruña (Galicia). Web: http://zerohousing.es + http://zerohousing.pro (B2B sistemas ZERO 2D fachada). +20 AÑOS experiencia equipo construcción industrializada. PRECIO CERRADO. Plazo: 6 MESES entrega. SIN BARRERAS ARQUITECTÓNICAS. Modelos: ZH 73m², ZH 103m² (156.000€ +IVA), ZH 123m² (182.000€ +IVA). Tour virtual disponible. Operan toda España (formulario contacto por provincia). Viviendas piloto disponibles SOLO CON CITA PREVIA. Envolvente térmica eficiente, materiales duraderos. Casas adaptadas clima atlántico (Galicia, Vigo, Porriño). Contacto: SOLO FORMULARIO WEB (no publican teléfono directo). Target: Clientes buscando vivienda eficiente precio/plazo cerrado.",🚀 Excelente,🔥 Alta,,⭐⭐⭐⭐⭐ Excelente Fit,🏪 Pequeña (5-20 empleados),,"Lugar Vigo, 6 - 15980 Padrón, A Coruña",zerohousing.es,,,,,,,,,,,
Tobelem,40,comercial@tobelem.net,🆕 Sin Contactar,💶 1-5M€,"+40 años (4 décadas). Alquiler y venta módulos. Casetas obra, oficinas venta, contenedores. 22 valoraciones Homify.","TOBELEM (D. TOBELEM) - Construcción modular a medida. +40 AÑOS en sector. Cártama, Málaga. Tel: 649 977 201. Email: mailto:comercial@tobelem.net. Web: http://tobelem.net / http://tobelem.pro. ALQUILER Y VENTA: Casetas prefabricadas, oficinas de venta, contenedores marítimos. 22 valoraciones Homify. Operan: Málaga, Córdoba, Jaén. ⚠️ Enfocados sector OBRA/COMERCIAL más que residencial. Target: Constructoras, comercios.",✅ Buena,⭐ Media,Málaga,⭐⭐⭐ Buen Fit,🏪 Pequeña (5-20 empleados),649 977 201,"Cártama, Málaga",tobelem.net,,,,,,,,,,,
3Pol Habitat,20,,🆕 Sin Contactar,💶 1-5M€,Estudio arquitectura viviendas industrializadas. +20 años. Casas Pasivas. Passivhaus. 7 valoraciones Google (5/5).,"3POL HABITAT - Estudio arquitectura VIVIENDAS INDUSTRIALIZADAS Valencia. Oliva, Valencia. Tel: 618 902 792. Web: http://3polhabitat.com. +20 AÑOS experiencia. Especialidad: CASAS PASIVAS, Passivhaus, nZEB. Sistemas industrializados madera y acero. Operan: Valencia, Alicante, Gandía, Denia, Jávea. 7 valoraciones Google (5/5). Horario: L-V 9:00-14:00. Target: Clientes Valencia/Alicante buscando casa pasiva.",✅ Buena,🔥 Alta,Valencia,⭐⭐⭐⭐⭐ Excelente Fit,🏠 Micro (<5 empleados),618 902 792,"Carrer Guillem de Castro, 46780 Oliva, Valencia",3polhabitat.com,Passivhaus,,,,,,,,,,
LARC BR,,,🆕 Sin Contactar,💶 1-5M€,Casas modulares industrializadas Valencia. Construcción seco 40-50% menos agua. Sistema 2D fábrica.,"LARC BR - Casas modulares industrializadas Valencia. Tel: 963 14 51 63. Web: http://larcbr.es. SISTEMAS: Construcción 3D en fábrica (módulos completos), Construcción 2D en fábrica e in situ (muros prefabricados con instalaciones y acabados). Construcción en seco: 40-50% MENOS USO AGUA vs tradicional. Entorno controlado. Materiales máxima calidad. Mínimos residuos. Pueden construir íntegramente en parcela o en fábrica. Modelos: 72m², 86m² y más. Target: Clientes Valencia buscando construcción eficiente sostenible industrializada.",✅ Buena,🔥 Alta,Valencia,⭐⭐⭐⭐ Muy Buen Fit,🏪 Pequeña (5-20 empleados),963 14 51 63,Valencia,larcbr.es,,,,,,,,,,,
Casas Cube,12,info@casascube.com,🆕 Sin Contactar,💶 1-5M€,"LÍDER ESPAÑA vivienda modular. 10 empleados (+30% YoY). Fundada 2013. Puntos venta: Marineda City, Xanadú, Azabache.","CASAS CUBE S.L. - LÍDER ESPAÑA fabricación e instalación vivienda modular prefabricada. Fundada 2013. NIF: B70409875. Sede: Rúa da Madeira, Parcela E-4, Polígono de Bértoa, 15100 Carballo (A Coruña). Tel: 981 632 547. Email: mailto:info@casascube.com. Web: http://casasprefabricadascube.com. 10 EMPLEADOS (+30% YoY). $1.3M facturación. PUNTOS DE VENTA: La Coruña (Marineda City), Madrid (C.C. Xanadú), Asturias (C.C. Azabache). Fabricación en una sola pieza. Modelos desde 36 hasta 300m². Precio cerrado. LinkedIn: 1.986 seguidores. Redes: Facebook, Instagram. Distribuyen toda España. Artículos: El Español, Revista AD. Target: Clientes buscando calidad gallega + puntos venta físicos.",🚀 Excelente,🔥 Alta,,⭐⭐⭐⭐⭐ Excelente Fit,🏪 Pequeña (5-20 empleados),981 632 547,"Rúa da Madeira, Parcela E-4, Polígono de Bértoa, 15100 Carballo, A Coruña",casasprefabricadascube.com,,,,,,,,,,,
Grupo Eurocasa,30,info@eurocasas.com,🆕 Sin Contactar,💵 5-10M€,MAYOR EXPOSICIÓN ESPAÑA (26 casas). +25 modelos. Desde 28.746€. Calificación energética A. Burgos.,"GRUPO EUROCASA - MAYOR EXPOSICIÓN casas prefabricadas ESPAÑA (26 CASAS visitables). Burgos. Tel: 947 473 074 / 626 036 126. WhatsApp: 629 713 794. Email: mailto:info@eurocasas.com. Web: http://eurocasas.com. Dirección: C. Merindad de Sotoscueva, 8, 09001 Burgos. Horario: L-V 9:30-20:00, S 10:00-14:00. +25 MODELOS disponibles. Desde 28.746€. Series: Gran Villa (calificación A), MOD, casas rústicas, madera troncos. Entrega inmediata. Fabricación en naves industriales Burgos. Cita previa recomendada. Target: Clientes buscando ver modelos físicos + precio entrada bajo.",🚀 Excelente,🔥 Alta,,⭐⭐⭐⭐⭐ Excelente Fit,🏬 Mediana (20-50 empleados),947 473 074,"C. Merindad de Sotoscueva, 8, 09001 Burgos",eurocasas.com,,,,,,,,,,,
Interbriques,33,,🆕 Sin Contactar,💶 1-5M€,Desde 1992. Sistema AISLABRICK patentado. 3 áreas: viviendas modulares + sistemas constructivos + materiales alta gama.,"INTERBRIQUES S.L. - Construcción industrializada desde 1992. Majadahonda, Madrid. Tel: 916 342 586. Web: http://interbriques.com. 3 LÍNEAS ACTIVIDAD: 1) Viviendas modulares industrializadas, 2) Sistemas constructivos AISLABRICK (patentado - paneles Neopor 200/250/300mm), 3) Materiales alta gama. 4 proyectos Homify (Boadilla, La Moraleja, rehabilitación fachadas). Enfoque eficiencia energética bajo consumo. Target: Clientes Madrid buscando construcción eficiente + profesionales (sistemas B2B).",✅ Buena,🔥 Alta,Madrid,⭐⭐⭐⭐ Muy Buen Fit,🏪 Pequeña (5-20 empleados),916 342 586,"Carretera Plantío 52, 28221 Majadahonda, Madrid",interbriques.com,,,,,,,,,,,
MCCM Casas,20,,🆕 Sin Contactar,💶 1-5M€,PASSIVHAUS. +20 años exp. Valencia + Madrid + Barcelona. Madera + materiales nobles. Precio cerrado. 120-150 días.,"MCCM CASAS - Casas modulares prefabricadas estándar PASSIVHAUS. +20 AÑOS experiencia. Web: http://mccmcasas.es. Operan: Valencia, Madrid, Barcelona. Materiales: MADERA y materiales nobles. Diseño moderno atemporal. Modelos: 120m²/3hab (188.760€, 120 días), 162m²/4hab 2 plantas (290.804€, 150 días). PRECIO CERRADO incluye: proyecto (arquitecto, aparejador, visado, dirección obra), geotécnico, topográfico, acometidas (luz, agua, desagües, teleco), transporte 250km, grúas. Vivienda completamente acabada - armarios medida, mobiliario baño/cocina incluido. También: casas madera segunda mano (240€/m²). Contacto: Solo formulario web (pide presupuesto). Target: Clientes buscando Passivhaus precio cerrado Valencia/Madrid/Barcelona.",✅ Buena,🔥 Alta,Valencia,⭐⭐⭐⭐⭐ Excelente Fit,🏪 Pequeña (5-20 empleados),,Valencia,mccmcasas.es,Passivhaus,,,,,,,,,,
Casas Natura,18,info@casasnatura.com,🆕 Sin Contactar,💶 1-5M€,EMPRESA FAMILIAR Valencia. Fundada 2007. $4.4M. Fabrican 100% en fábrica. 90 días. Montaje 1-5 días. Exportan Francia.,"CASAS NATURA - Empresa FAMILIAR casas modulares MADERA a medida. Fundada 2007 (18 años experiencia). Museros, Valencia. Tel: 961 452 817. Email: mailto:info@casasnatura.com. Web: http://casasnatura.com. Fábrica 3.200m² en Museros. 2 EMPLEADOS. $4.4M facturación. Fabrican 100% en FÁBRICA Valencia. Plazo: 90-120 DÍAS. Montaje terreno: 1-5 DÍAS. EXPORTAN Francia y Alemania (know-how aislación bajo consumo). Gamas: Natura NERO (115-150m²), Natura BLU, Natura ROSSO. Clasificación energética A o consumo casi nulo. Garantía 10 años estructura, 30 años tejado. Precio cerrado llave en mano. 4 proyectos + 9 valoraciones Homify. Acabados: SILESTONE/EGGER. 2.577 followers Instagram. Target: Clientes Valencia buscando madera + rapidez + exportación.",✅ Buena,🔥 Alta,Valencia,⭐⭐⭐⭐⭐ Excelente Fit,🏠 Micro (<5 empleados),961 452 817,"Museros, Valencia",casasnatura.com,,,,,,,,,,,
